"filename", "language", "JSON with Comments", "TypeScript", "JSON", "MS SQL", "TypeScript JSX", "Gradle", "Java Properties", "XML", "Batch", "JavaScript", "comment", "blank", "total"
"/Users/gajanan/Documents/Indense/scraps/backend/package-lock.json", "JSON", 0, 0, 7929, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7930
"/Users/gajanan/Documents/Indense/scraps/backend/package.json", "JSON", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 1, 59
"/Users/gajanan/Documents/Indense/scraps/backend/prisma/materialsData.ts", "TypeScript", 0, 19212, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 19214
"/Users/gajanan/Documents/Indense/scraps/backend/prisma/migrations/20251221234553_testing1/migration.sql", "MS SQL", 0, 0, 0, 293, 0, 0, 0, 0, 0, 0, 94, 110, 497
"/Users/gajanan/Documents/Indense/scraps/backend/prisma/migrations/20260116202254_init_with_item_groups/migration.sql", "MS SQL", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 23, 16, 72
"/Users/gajanan/Documents/Indense/scraps/backend/prisma/migrations/20260201113351_auth_multisite_updates/migration.sql", "MS SQL", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 32, 23, 98
"/Users/gajanan/Documents/Indense/scraps/backend/prisma/migrations/20260204091341_pt_vendor_invoice_updates/migration.sql", "MS SQL", 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 37, 28, 137
"/Users/gajanan/Documents/Indense/scraps/backend/prisma/migrations/20260204095828_add_reordered_by_relation/migration.sql", "MS SQL", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 3
"/Users/gajanan/Documents/Indense/scraps/backend/prisma/migrations/20260207111446_add_allowed_roles/migration.sql", "MS SQL", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 3, 17
"/Users/gajanan/Documents/Indense/scraps/backend/prisma/migrations/20260207205830_add_reorder_tracking_to_order_item/migration.sql", "MS SQL", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 3, 3, 10
"/Users/gajanan/Documents/Indense/scraps/backend/prisma/seed.ts", "TypeScript", 0, 1135, 0, 0, 0, 0, 0, 0, 0, 0, 84, 56, 1275
"/Users/gajanan/Documents/Indense/scraps/backend/prisma/seedMaterials.ts", "TypeScript", 0, 233, 0, 0, 0, 0, 0, 0, 0, 0, 55, 50, 338
"/Users/gajanan/Documents/Indense/scraps/backend/src/app.ts", "TypeScript", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 10, 16, 88
"/Users/gajanan/Documents/Indense/scraps/backend/src/config/auth.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"/Users/gajanan/Documents/Indense/scraps/backend/src/config/database.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 19
"/Users/gajanan/Documents/Indense/scraps/backend/src/config/index.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 30
"/Users/gajanan/Documents/Indense/scraps/backend/src/config/storage.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"/Users/gajanan/Documents/Indense/scraps/backend/src/index.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 52
"/Users/gajanan/Documents/Indense/scraps/backend/src/middleware/auditLog.ts", "TypeScript", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 15, 11, 107
"/Users/gajanan/Documents/Indense/scraps/backend/src/middleware/authenticate.ts", "TypeScript", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 12, 15, 99
"/Users/gajanan/Documents/Indense/scraps/backend/src/middleware/authorize.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 20, 11, 60
"/Users/gajanan/Documents/Indense/scraps/backend/src/middleware/errorHandler.ts", "TypeScript", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 15, 14, 114
"/Users/gajanan/Documents/Indense/scraps/backend/src/middleware/index.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/gajanan/Documents/Indense/scraps/backend/src/middleware/siteFilter.ts", "TypeScript", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 24, 16, 104
"/Users/gajanan/Documents/Indense/scraps/backend/src/middleware/validateRequest.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 41
"/Users/gajanan/Documents/Indense/scraps/backend/src/modules/auth/auth.controller.ts", "TypeScript", 0, 183, 0, 0, 0, 0, 0, 0, 0, 0, 52, 40, 275
"/Users/gajanan/Documents/Indense/scraps/backend/src/modules/auth/auth.routes.ts", "TypeScript", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 18, 18, 118
"/Users/gajanan/Documents/Indense/scraps/backend/src/modules/auth/auth.service.ts", "TypeScript", 0, 457, 0, 0, 0, 0, 0, 0, 0, 0, 73, 76, 606
"/Users/gajanan/Documents/Indense/scraps/backend/src/modules/auth/auth.validation.ts", "TypeScript", 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 130
"/Users/gajanan/Documents/Indense/scraps/backend/src/modules/indents/indents.controller.ts", "TypeScript", 0, 174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 195
"/Users/gajanan/Documents/Indense/scraps/backend/src/modules/indents/indents.routes.ts", "TypeScript", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 11, 15, 92
"/Users/gajanan/Documents/Indense/scraps/backend/src/modules/indents/indents.service.ts", "TypeScript", 0, 708, 0, 0, 0, 0, 0, 0, 0, 0, 79, 120, 907
"/Users/gajanan/Documents/Indense/scraps/backend/src/modules/indents/indents.stateMachine.ts", "TypeScript", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 43, 13, 138
